airport￨root
one￨nummod way￨root
ci0￨compound airport￨root
ground￨root ci0￨punct
code￨compound al0￨root
ci0￨compound airport￨root
al0￨root fn0￨flat
describ￨root ap0￨flat
ground￨compound transport￨root ci0￨punct
ground￨compound transport￨root ci0￨punct
what￨root is￨cop sa￨appos
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop ap0￨root
onli￨discourse show￨root al0￨punct
explain￨root restrict￨xcomp rc0￨punct
show￨root me￨iobj price￨obj of￨case flight￨nmod from￨case ci0￨obl to￨case ci1￨obl
how￨advmod mani￨compound flight￨compound doe￨nsubj al0￨aux have￨root with￨case busi￨compound class￨obl
show￨root me￨iobj flight￨obj from￨case ci1￨nmod to￨case ci0￨obl on￨case da0￨nmod
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl after￨advmod ti0￨punct
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨nmod
what￨det type￨root of￨case aircraft￨compound fli￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨nmod
how￨advmod mani￨nmod:poss first￨amod class￨compound flight￨nsubj:pass are￨aux:pass provid￨root by￨obl al0￨punct
list￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl on￨case da0￨nmod
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
all￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod on￨case mn0￨nmod dn0￨punct
could￨aux you￨nsubj tell￨root me￨obj if￨mark al0￨nsubj fn0￨compound serv￨compound breakfast￨advcl
round￨amod trip￨compound fare￨root from￨case ci0￨nmod to￨case ci1￨nmod under￨case do0￨nmod
what￨root are￨cop the￨det afternoon￨compound flight￨nsubj between￨case ci0￨nmod and￨cc ci1￨conj
show￨root me￨iobj the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl via￨case ci2￨nmod
ci0￨root to￨mark ci1￨xcomp arriv￨obj befor￨case ti0￨obl in￨case the￨det afternoon￨obl
show￨root all￨det:predet da0￨det morn￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
is￨root there￨expl a￨det nonstop￨amod flight￨nsubj from￨case ci1￨nmod to￨case ci0￨obl
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
list￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl da0￨compound morn￨obl
list￨root the￨det al0￨amod flight￨obj that￨nsubj leav￨acl:relcl ci0￨obj befor￨advmod ti0￨punct
list￨compound flight￨root between￨case ci1￨nmod and￨cc ci0￨conj that￨det serv￨compound breakfast￨obj
list￨root the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case al0￨obl
pleas￨nsubj list￨root the￨det flight￨compound time￨obj from￨case ci0￨obl to￨case ci1￨obl
can￨aux you￨nsubj list￨root all￨det flight￨obj between￨case ci0￨nmod and￨cc ci1￨punct
i￨nsubj 'd￨aux like￨root a￨det flight￨obj tomorrow￨obl:tmod from￨case ci0￨obl to￨case ci1￨obl
find￨root me￨iobj a￨det flight￨obj leav￨case ci0￨nmod at￨case ti0￨nummod o'clock￨obl
what￨root are￨cop the￨det even￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
flight￨compound inform￨root between￨case ci0￨nmod and￨cc ci1￨conj on￨case mn0￨nmod dn0￨punct
what￨root is￨cop the￨det latest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
do￨aux you￨nsubj have￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
i￨nsubj would￨aux like￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root flight￨obj between￨case ci1￨nmod and￨cc ci0￨conj for￨case mn0￨obl dn0￨punct
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
do￨aux you￨nsubj have￨root a￨det al0￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
find￨root a￨det flight￨obj on￨case al0￨nmod from￨case ci1￨obl to￨case ci0￨obl
round￨amod trip￨compound fare￨root from￨case ci0￨nmod to￨case ci1￨nmod under￨case do0￨nmod
list￨root all￨det flight￨obj from￨case ci0￨obl to￨case ci1￨obl on￨case da0￨nmod
give￨root me￨iobj the￨det cheapest￨amod flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
show￨root me￨iobj the￨det nonstop￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
all￨det flight￨nsubj from￨case ci1￨nmod to￨case ci0￨nmod leav￨root after￨advmod ti0￨punct
what￨root is￨cop the￨det latest￨amod flight￨compound leav￨compound ci0￨nsubj for￨case ci1￨nmod
what￨root is￨cop the￨det lowest￨amod fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
doe￨compound al0￨nsubj have￨root ani￨compound flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨compound daili￨nmod ti0￨nmod:tmod o'clock￨nummod pm￨nmod:tmod
show￨root me￨iobj the￨det even￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
find￨root me￨iobj the￨det earliest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
pleas￨nsubj list￨root the￨det da0￨compound flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
show￨root me￨iobj the￨det dinner￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
pleas￨nsubj list￨root the￨det flight￨compound time￨obj from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨det next￨amod da0￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod between￨case ti0￨nmod and￨cc ti1￨conj
show￨root me￨iobj the￨det earliest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
pleas￨nsubj list￨root the￨det flight￨compound time￨obj for￨case ci0￨nmod to￨nmod ci1￨punct
how￨advmod mani￨nsubj of￨case al0￨det night￨compound flight￨nmod are￨cop first￨amod class￨root
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl after￨advmod ti0￨punct
show￨root me￨iobj first￨amod class￨compound fare￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj the￨det latest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root is￨cop the￨det last￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
pleas￨nsubj list￨root the￨det flight￨compound time￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨root are￨cop my￨nmod:poss meal￨compound option￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj the￨det direct￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj round￨amod trip￨compound fare￨obj from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj want￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨obl nonstop￨advmod
give￨root me￨iobj nonstop￨amod flight￨obj from￨case ci0￨compound citi￨nmod to￨case ci1￨obl
show￨root me￨iobj da0￨det afternoon￨compound flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
show￨root me￨iobj the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
i￨nsubj 'd￨aux like￨root a￨det return￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj a￨det list￨obj of￨case ground￨compound transport￨nmod at￨case ap0￨obl
what￨det pm￨compound flight￨nsubj are￨aux avail￨root from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj want￨root to￨mark fli￨xcomp nonstop￨advmod from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj 'd￨aux like￨root to￨mark see￨xcomp the￨det fare￨compound code￨obj again￨advmod fb0￨punct
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci1￨nmod to￨case ci0￨nmod
show￨root flight￨obj from￨case ci0￨obl to￨case ci1￨nsubj connect￨advcl through￨obl ci2￨punct
what￨det flight￨nsubj leav￨root after￨case ti0￨obl from￨case ci0￨obl to￨case ci1￨obl
what￨root are￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
doe￨compound al0￨nsubj have￨root ani￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
coach￨compound class￨compound flight￨root on￨case al0￨nmod from￨case ci1￨nmod to￨case ci0￨nmod
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop first￨amod class￨compound fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨nsubj leav￨root from￨case ci0￨obl to￨mark ci1￨advcl on￨case al0￨obl
what￨det time￨obj doe￨nsubj al0￨aux depart￨root from￨case ci1￨obl to￨case ci0￨obl
show￨root me￨iobj the￨det dinner￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root all￨det flight￨obj and￨cc fare￨conj from￨case ci1￨obl to￨case ci0￨obl
what￨root is￨cop the￨det cheapest￨amod fare￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop al0￨det schedul￨nsubj of￨case morn￨compound flight￨nmod to￨case ci0￨nmod
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl for￨case da0￨obl
what￨det flight￨nsubj are￨aux avail￨csubj da0￨root to￨mark ci0￨xcomp from￨case ci1￨obl
show￨root me￨iobj the￨det coach￨nsubj fare￨ccomp from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨nmod
what￨det flight￨nsubj are￨cop there￨root from￨case ci0￨compound citi￨obl to￨case ci1￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨nmod
round￨amod trip￨compound fare￨root from￨case ci0￨nmod to￨case ci1￨nmod under￨case do0￨nmod
show￨root me￨iobj round￨amod trip￨compound fare￨obj between￨case ci0￨nmod and￨cc ci1￨conj
give￨root me￨iobj flight￨obj that￨nsubj arriv￨acl:relcl in￨case ci0￨obl from￨case ci1￨obl
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨det area￨obl
show￨root me￨iobj the￨det nonstop￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
find￨root the￨det earliest￨amod breakfast￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
which￨nsubj airlin￨aux have￨root nonstop￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
flight￨root on￨case al0￨nmod from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨nmod
doe￨nsubj al0￨advmod have￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
list￨compound flight￨root from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨compound afternoon￨nmod
can￨aux you￨nsubj list￨root all￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
what￨det fare￨compound code￨compound cover￨compound flight￨root from￨case ci1￨nmod to￨case ci0￨nmod
what￨det price￨nsubj is￨cop a￨det limousin￨amod servic￨root to￨mark ci0￨acl ap0￨punct
how￨advmod mani￨compound flight￨compound doe￨compound al0￨nsubj have￨root in￨case busi￨compound class￨obl
all￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod on￨case mn0￨nmod dn0￨punct
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ap0￨obl nonstop￨advmod
find￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨nmod
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨nmod
what￨det flight￨root from￨case ci0￨nmod to￨case ci1￨nmod in￨case the￨det morn￨nmod
show￨root me￨iobj the￨det morn￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨obl
list￨root all￨det flight￨obj from￨case ci1￨obl to￨case ci0￨obl on￨case al0￨nmod
are￨cop they￨nsubj all￨det nonstop￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨obl
all￨det flight￨root from￨case ci0￨nmod to￨mark ci1￨acl less￨obj than￨case do0￨obl
pleas￨nsubj give￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
and￨cc flight￨root from￨case ci0￨nmod to￨case ci1￨compound leav￨nmod after￨advmod ti0￨nmod
which￨nsubj airlin￨aux have￨root daili￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
are￨root there￨expl da0￨det morn￨compound flight￨nsubj between￨case ci0￨nmod and￨cc ci1￨conj
how￨advmod do￨aux i￨nsubj get￨root from￨case ap0￨obl to￨case downtown￨obl ci0￨punct
show￨root me￨iobj the￨det even￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root is￨cop the￨det cheapest￨amod fare￨nsubj between￨case ci1￨nmod and￨cc ci0￨conj
an￨det al0￨amod flight￨root first￨amod class￨appos from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨nsubj are￨aux avail￨root da0￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨root is￨cop the￨det latest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj 'd￨aux like￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨compound washington￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨nmod befor￨advmod ti0￨parataxis
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci0￨nmod on￨case al0￨obl
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci1￨obl to￨case ci0￨obl
find￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨nmod
list￨compound daili￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨det use￨nmod al0￨punct
pleas￨compound list￨root onli￨case al0￨amod flight￨nmod between￨case ci0￨nmod and￨cc ci1￨conj
what￨root is￨cop the￨det latest￨amod flight￨compound leav￨compound ci0￨nsubj for￨case ci1￨nmod
what￨root is￨cop the￨det earliest￨amod flight￨compound leav￨compound ci1￨nsubj to￨case ci0￨nmod
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod between￨case ti0￨nmod and￨cc ti1￨conj
da0￨amod morn￨compound flight￨root between￨case ci0￨nmod and￨cc ci1￨conj new￨amod jersey￨nmod
what￨det flight￨nsubj are￨aux avail￨root da0￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨det afternoon￨compound flight￨nsubj are￨aux avail￨root between￨case ci1￨obl and￨cc ci0￨conj
show￨root me￨iobj all￨det flight￨compound arriv￨obj to￨mark ci0￨acl from￨case ci1￨obl
sure￨discourse i￨nsubj want￨root to￨mark go￨xcomp from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj want￨root a￨det cheap￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨obl
show￨root me￨iobj the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
do￨aux you￨nsubj have￨root a￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
show￨root me￨iobj ground￨compound transport￨obj in￨case ci0￨obl on￨case da0￨compound morn￨obl
what￨det kind￨nsubj of￨case ground￨compound transport￨nsubj is￨cop there￨root in￨case ci0￨obl
what￨det flight￨nsubj are￨cop there￨root from￨case ci0￨compound citi￨obl to￨case ci1￨nmod
pleas￨nsubj show￨root me￨iobj the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj the￨det latest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root all￨det flight￨obj on￨case al0￨det airlin￨obl out￨case of￨case ci0￨obl
what￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod in￨case the￨det morn￨nmod
i￨nsubj need￨root flight￨obj that￨nsubj arriv￨acl:relcl in￨case ci0￨obl from￨case ci1￨obl
what￨det flight￨nsubj leav￨root after￨case ti0￨obl from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
is￨root there￨expl a￨det limousin￨compound servic￨compound avail￨nsubj from￨case the￨det ap0￨nmod
list￨root all￨det round￨amod trip￨compound fare￨obj from￨case ci1￨obl to￨case ci0￨obl
i￨nsubj would￨aux like￨root to￨mark travel￨xcomp from￨case ci0￨obl to￨case ci1￨obl
what￨root are￨cop all￨det:predet the￨det flight￨nsubj between￨case ci0￨nmod and￨cc ci1￨conj
how￨advmod much￨root is￨cop a￨det flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ap0￨nmod
i￨nsubj would￨aux like￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
pleas￨nsubj list￨root the￨det morn￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
is￨root there￨expl a￨det flight￨compound leav￨nsubj from￨case ci0￨nmod to￨case ci1￨obl
when￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
do￨aux you￨nsubj have￨root ani￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl after￨advmod ti0￨punct
what￨obj the￨det last￨amod flight￨nsubj leav￨root from￨case ci0￨obl to￨case ci1￨obl
what￨obj am￨aux flight￨nsubj are￨aux avail￨root from￨case ci0￨obl to￨case ci1￨obl
what￨root is￨cop the￨det cheapest￨amod fare￨nsubj from￨case ci1￨nmod to￨case ci0￨nmod
pleas￨nsubj list￨root the￨det flight￨compound time￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root me￨iobj one￨nummod way￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
show￨root me￨iobj all￨det:predet the￨det flight￨obj between￨case ci0￨nmod and￨cc ci1￨conj
what￨det flight￨nsubj from￨case ci1￨nmod arriv￨root in￨case ci0￨obl befor￨advmod ti0￨punct
i￨nsubj 'm￨cop interest￨root in￨case a￨det flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop the￨det earliest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨root is￨cop the￨det last￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
how￨advmod much￨root is￨cop a￨det flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
pleas￨nsubj give￨root me￨iobj flight￨compound avail￨obj from￨case ci0￨nmod to￨case ci1￨obl
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod between￨case ti0￨nmod and￨cc ti1￨conj
list￨compound daili￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨det use￨nmod al0￨punct
show￨root me￨iobj all￨det nonstop￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
ci1￨root to￨case ci0￨det next￨amod week￨obl:tmod da0￨mark show￨advcl the￨det flight￨obj
flight￨root from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨nmod on￨case al0￨nmod
show￨root all￨det flight￨obj and￨cc fare￨conj from￨case ci1￨obl to￨case ci0￨obl
what￨root is￨cop the￨det latest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl via￨case ci2￨nmod
i￨nsubj 'm￨cop interest￨root in￨case a￨det flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj want￨root to￨mark fli￨xcomp al0￨obj from￨case ci0￨obl to￨case ci1￨obl
show￨root all￨det airlin￨obj with￨case flight￨obl between￨case ci0￨nmod and￨cc ci1￨conj
also￨advmod show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
list￨root the￨det round￨amod trip￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨nmod
how￨advmod mani￨nsubj first￨amod class￨compound flight￨compound doe￨compound al0￨nsubj have￨root today￨obl:tmod
show￨root me￨iobj the￨det type￨obj of￨case aircraft￨nmod that￨nsubj al0￨aux use￨acl:relcl
show￨root me￨iobj the￨det flight￨compound schedul￨obj from￨case ci1￨nmod to￨case ci0￨obl
i￨nsubj 'd￨aux like￨root the￨det lowest￨amod fare￨obj from￨case ci0￨obl to￨case ci1￨obl
first￨amod class￨compound round￨amod trip￨compound airfar￨root from￨case ci0￨nmod to￨case ci1￨nmod
ci1￨root to￨mark ci0￨xcomp with￨case one￨nummod stop￨obl in￨case ci2￨det pleas￨nmod
what￨det kind￨obj of￨case ground￨nmod transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
show￨root me￨iobj round￨amod trip￨compound fare￨obj from￨case ci0￨obl to￨case ci1￨obl
list￨root all￨det:predet the￨det airlin￨compound fli￨obj between￨case ci0￨nmod and￨cc ci1￨conj
show￨root me￨iobj the￨det cheapest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
pleas￨nsubj list￨root the￨det al0￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
hi￨discourse i￨nsubj want￨root a￨det round￨amod trip￨compound ticket￨obj to￨case ci0￨nmod
i￨nsubj would￨aux like￨root to￨mark travel￨xcomp from￨case ci0￨obl to￨case ci1￨obl
what￨det type￨nsubj of￨case aircraft￨nmod is￨aux use￨root on￨case al0￨obl fn0￨punct
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci1￨nmod to￨case ci0￨nmod
what￨root is￨cop al0￨det schedul￨nsubj of￨case morn￨compound flight￨nmod to￨case ci0￨nmod
are￨root there￨expl ani￨det al0￨amod flight￨nsubj between￨case ci0￨nmod and￨cc ci1￨conj
i￨nsubj need￨root a￨det return￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
list￨root all￨det flight￨obj on￨case al0￨compound leav￨compound ci0￨obl on￨case da0￨nmod
what￨det type￨nsubj of￨case ground￨compound transport￨nsubj are￨aux avail￨root in￨obl ci0￨punct
show￨root me￨iobj the￨det earliest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
round￨amod trip￨compound fare￨root from￨case ci0￨nmod to￨case ci1￨nmod under￨case do0￨nmod
show￨root me￨iobj first￨amod class￨compound fare￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨det kind￨obj of￨case ground￨nmod transport￨nsubj is￨aux avail￨root in￨obl ci0￨punct
show￨root me￨iobj the￨det cheapest￨amod fare￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj all￨det daili￨det flight￨obj between￨case ci0￨nmod and￨cc ci1￨conj
i￨nsubj need￨root a￨det flight￨obj tomorrow￨obl:tmod from￨case ci0￨obl to￨case ci1￨obl
what￨root is￨cop the￨det last￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
show￨root me￨iobj first￨amod class￨compound fare￨obj from￨case ci0￨obl to￨case ci1￨obl
what￨root is￨cop the￨det latest￨amod flight￨nsubj between￨case ci0￨nmod and￨cc ci1￨conj
give￨root me￨iobj one￨nummod way￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
return￨root from￨case ci1￨obl to￨case ci0￨obl on￨case al0￨nmod on￨case da0￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl after￨advmod ti0￨punct
show￨root me￨iobj the￨det earliest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det flight￨nsubj leav￨aux ci0￨root for￨case ci1￨obl on￨case da0￨det night￨obl
show￨root me￨iobj the￨det last￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
what￨det nonstop￨amod flight￨nsubj are￨aux avail￨root from￨case ci0￨obl to￨case ci1￨obl
what￨det flight￨nsubj go￨root from￨case ci0￨obl to￨case ci1￨obl via￨case ci2￨nmod
what￨root is￨cop the￨det cheapest￨amod flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod
list￨compound daili￨amod flight￨root from￨case ci0￨nmod to￨case ci1￨det use￨nmod al0￨punct
what￨nsubj airlin￨aux fli￨root from￨case ci0￨obl to￨mark ci2￨advcl to￨case ci1￨obl
can￨aux you￨nsubj list￨root all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
pleas￨nsubj list￨root the￨det morn￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
al0￨discourse fn0￨aux ci0￨root to￨mark ci1￨xcomp what￨obj is￨cop the￨det fare￨obj
list￨root all￨det flight￨obj from￨case ci1￨obl to￨case ci0￨obl on￨case da0￨nmod
what￨root is￨cop the￨det distanc￨nsubj from￨case ap0￨nmod to￨case ci0￨compound downtown￨obl
hi￨discourse i￨nsubj 'd￨aux like￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci1￨obl to￨case ci0￨obl
all￨det al0￨compound and￨cc al1￨conj flight￨root with￨case stopov￨nmod in￨case ci0￨nmod
first￨amod class￨compound round￨amod trip￨compound airfar￨root from￨case ci0￨nmod to￨case ci1￨nmod
all￨det flight￨root from￨case ci1￨nmod to￨case ci0￨nmod on￨case mn0￨nmod dn0￨punct
i￨nsubj would￨aux like￨root to￨mark travel￨xcomp from￨case ci0￨obl to￨case ci1￨obl
list￨root all￨obj da￨case 0￨nummod night￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
i￨nsubj need￨root a￨det flight￨obj tomorrow￨obl:tmod from￨case ci0￨obl to￨case ci1￨obl
i￨nsubj need￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl today￨obl:tmod
what￨root are￨cop the￨det afternoon￨compound flight￨nsubj for￨case ci1￨nmod to￨case ci0￨punct
pleas￨nsubj show￨root me￨iobj the￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨obl
tell￨root me￨iobj the￨det last￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl tomorrow￨obl:tmod
