airport￨NN￨root￨ROOT
one￨CD￨nummod￨way way￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
ground￨NN￨root￨ROOT ci0￨.￨punct￨ground
code￨NN￨compound￨al0 al0￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
al0￨NNP￨root￨ROOT fn0￨NNP￨flat￨al0
describ￨NNP￨root￨ROOT ap0￨NNP￨flat￨describ
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
what￨WP￨root￨ROOT is￨VBZ￨cop￨what sa￨NNP￨appos￨what
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
onli￨UH￨discourse￨show show￨VB￨root￨ROOT al0￨.￨punct￨show
explain￨VB￨root￨ROOT restrict￨VB￨xcomp￨explain rc0￨.￨punct￨explain
what￨WDT￨det￨flight flight￨NN￨nsubj￨leav leav￨VBP￨root￨ROOT ap0￨NN￨obj￨leav for￨IN￨case￨ci0 ci0￨NN￨obl￨leav and￨CC￨cc￨arriv arriv￨NN￨conj￨ci0 ti0￨.￨punct￨leav
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨show
which￨WDT￨det￨flight flight￨NN￨nsubj￨go on￨IN￨case￨al0 al0￨NNP￨nmod￨flight and￨CC￨cc￨al1 al1￨NNP￨conj￨al0 go￨VBP￨root￨ROOT through￨RB￨advmod￨go ci0￨.￨punct￨go
pleas￨NNS￨nsubj￨give give￨VBP￨root￨ROOT me￨PRP￨iobj￨give all￨DT￨det￨flight flight￨NN￨obj￨give from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨give
what￨WP￨root￨ROOT are￨VBP￨cop￨what the￨DT￨det￨flight flight￨NN￨nsubj￨what from￨IN￨case￨citi ci0￨NNP￨compound￨citi citi￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨TO￨case￨ci0 ci0￨NNP￨obl￨show on￨IN￨case￨da0 da0￨NNP￨nmod￨ci0
pleas￨NNS￨compound￨list list￨NN￨root￨ROOT nonstop￨JJ￨amod￨flight al0￨NN￨compound￨flight flight￨NN￨appos￨list from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WDT￨det￨kind kind￨NN￨obj￨avail of￨IN￨case￨ground ground￨NN￨nmod￨kind transport￨NN￨nsubj￨avail is￨VBZ￨aux￨avail avail￨VB￨root￨ROOT in￨IN￨obl￨avail ci0￨.￨punct￨avail
tell￨VB￨root￨ROOT me￨PRP￨obj￨tell about￨IN￨case￨transport ground￨NN￨compound￨transport transport￨NN￨obl￨tell between￨IN￨case￨ap0 ap0￨NN￨nmod￨transport and￨CC￨cc￨ci0 ci0￨NNP￨conj￨ap0
all￨DT￨det￨flight flight￨NN￨nsubj￨leav from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0 leav￨VBP￨root￨ROOT befor￨RB￨advmod￨leav ti0￨.￨punct￨leav
pleas￨NNS￨nsubj￨find find￨VBP￨root￨ROOT the￨DT￨det￨fare cheapest￨JJS￨amod￨fare fare￨NN￨obj￨find from￨IN￨case￨ci1 ci1￨NN￨nmod￨fare to￨IN￨case￨ci0 ci0￨NNP￨obl￨find
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT late￨JJ￨amod￨flight flight￨NN￨obj￨need da￨IN￨case￨0 0￨CD￨nmod￨flight from￨IN￨case￨ci1 ci1￨NNP￨obl￨need to￨IN￨case￨ci0 ci0￨NNP￨obl￨need
list￨VB￨root￨ROOT the￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨TO￨case￨ci0 ci0￨NNP￨obl￨list on￨IN￨case￨al0 al0￨NNP￨nmod￨ci0
what￨WDT￨det￨kind kind￨NN￨nsubj￨there of￨IN￨case￨transport ground￨NN￨compound￨transport transport￨NN￨nsubj￨there is￨VBZ￨cop￨there there￨RB￨root￨ROOT in￨IN￨case￨ci0 ci0￨NN￨obl￨there
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨need from￨IN￨case￨ci1 ci1￨NNP￨obl￨fli to￨IN￨case￨ci0 ci0￨NNP￨obl￨fli da0￨.￨punct￨need
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight last￨JJ￨amod￨flight flight￨NN￨nsubj￨what to￨TO￨mark￨ci0 ci0￨VB￨acl￨flight from￨IN￨case￨ci1 ci1￨NNP￨obl￨ci0
list￨VB￨root￨ROOT the￨DT￨det￨flight flight￨NN￨obj￨list that￨WDT￨nsubj￨arriv arriv￨VBZ￨acl:relcl￨flight and￨CC￨cc￨depart depart￨VB￨conj￨arriv from￨IN￨obl￨arriv ap0￨.￨punct￨list
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨obl￨show on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show nonstop￨RB￨advmod￨show
flight￨NN￨nsubj￨depart from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ap0 ap0￨NNP￨nmod￨flight depart￨VB￨root￨ROOT after￨IN￨case￨ti0 ti0￨NN￨obl￨depart al0￨.￨punct￨depart
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨ci0 latest￨JJS￨amod￨ci0 flight￨NN￨compound￨leav leav￨NN￨compound￨ci0 ci0￨NN￨nsubj￨what to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
what￨WDT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight on￨IN￨case￨afternoon da0￨NNP￨compound￨afternoon afternoon￨NN￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight latest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show round￨JJ￨amod￨trip trip￨NN￨compound￨fare fare￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NN￨obl￨show to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
what￨WDT￨det￨flight flight￨NN￨nsubj￨leav leav￨VBP￨root￨ROOT after￨IN￨case￨ti0 ti0￨NN￨obl￨leav from￨IN￨case￨ci0 ci0￨NN￨obl￨leav to￨IN￨case￨ci1 ci1￨NNP￨obl￨leav
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT a￨DT￨det￨flight return￨NN￨compound￨flight flight￨NN￨obj￨need from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨need
a￨DT￨det￨flight one￨CD￨nummod￨way way￨NN￨compound￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨pleas ci0￨NNP￨compound￨pleas pleas￨NNS￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show next￨JJ￨amod￨flight da0￨NN￨compound￨flight flight￨NN￨obj￨show between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
how￨WRB￨advmod￨have mani￨NNP￨nsubj￨have first￨JJ￨amod￨class class￨NN￨compound￨al0 flight￨NN￨compound￨al0 doe￨NN￨compound￨al0 al0￨NNS￨nsubj￨have have￨VB￨root￨ROOT today￨NN￨obl:tmod￨have
i￨PRP￨nsubj￨look 'm￨VBP￨aux￨look look￨VB￨root￨ROOT for￨IN￨case￨flight a￨DT￨det￨flight flight￨NN￨obl￨look from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨look
list￨NN￨compound￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight on￨IN￨case￨afternoon da0￨NNP￨compound￨afternoon afternoon￨NN￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight al0￨JJ￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
do￨VBP￨aux￨have you￨PRP￨nsubj￨have have￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨have from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨have
list￨VB￨root￨ROOT all￨DT￨det￨flight day￨NN￨compound￨time time￨NN￨compound￨flight flight￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨list
what￨WDT￨det￨flight flight￨NN￨nsubj￨go go￨VBP￨root￨ROOT from￨IN￨case￨ci1 ci1￨NN￨obl￨go to￨TO￨mark￨ci0 ci0￨VB￨advcl￨go on￨IN￨case￨da0 da0￨NNP￨obl￨ci0
what￨WP￨obj￨know do￨VBP￨aux￨know you￨PRP￨nsubj￨know know￨VB￨root￨ROOT about￨IN￨case￨rental car￨NN￨compound￨rental rental￨NN￨obl￨know in￨IN￨case￨ci0 ci0￨NNP￨obl￨know
what￨WDT￨det￨sort sort￨NN￨nsubj￨there of￨IN￨case￨transport ground￨NN￨compound￨transport transport￨NN￨nsubj￨there is￨VBZ￨cop￨there there￨RB￨root￨ROOT in￨IN￨case￨ci0 ci0￨NN￨obl￨there
what￨WP￨nsubj￨fli airlin￨NN￨compound￨fli besid￨NN￨compound￨al0 al0￨NN￨compound￨fli fli￨NN￨root￨ROOT between￨IN￨case￨ci0 ci0￨NN￨nmod￨fli and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨fare lowest￨JJS￨amod￨fare fare￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
pleas￨NNS￨nsubj￨list list￨VBP￨root￨ROOT the￨DT￨det￨flight morn￨NN￨compound￨flight flight￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨list
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨like from￨IN￨case￨ci0 ci0￨NNP￨obl￨fli to￨IN￨case￨ci1 ci1￨NNP￨obl￨fli
i￨PRP￨nsubj￨want want￨VBP￨root￨ROOT a￨DT￨det￨flight even￨JJ￨amod￨flight flight￨NN￨obj￨want from￨IN￨case￨ci0 ci0￨NNP￨obl￨want to￨IN￨case￨ci1 ci1￨NNP￨obl￨want
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨airport all￨DT￨det￨airport airport￨NN￨nmod￨flight to￨IN￨case￨ap0 ap0￨NNP￨obl￨show
i￨PRP￨nsubj￨want want￨VBP￨root￨ROOT the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨obj￨want from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨want
what￨WDT￨det￨flight flight￨NN￨obj￨have do￨VBP￨aux￨have you￨PRP￨nsubj￨have have￨VB￨root￨ROOT between￨IN￨case￨ci0 ci0￨NN￨obl￨have and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show to￨IN￨case￨ci0 ci0￨NN￨nmod￨flight in￨IN￨case￨even the￨DT￨det￨even even￨RB￨advmod￨show
show￨VB￨root￨ROOT me￨PRP￨iobj￨show round￨JJ￨amod￨trip trip￨NN￨compound￨fare fare￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NN￨obl￨show to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨fare lowest￨JJS￨amod￨fare fare￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨capac seat￨NN￨compound￨capac capac￨NN￨nsubj￨what of￨IN￨case￨boe a￨DT￨det￨boe boe￨NN￨nmod￨capac ac0￨.￨punct￨what
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
show￨VB￨root￨ROOT me￨PRP￨iobj￨show one￨CD￨nummod￨way way￨NN￨compound￨flight flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨show
okay￨UH￨discourse￨like i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨like from￨IN￨case￨ci0 ci0￨NNP￨obl￨fli to￨IN￨case￨ci1 ci1￨NNP￨obl￨fli
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight last￨JJ￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨cost cost￨NN￨nsubj￨what of￨IN￨case￨servic limousin￨NN￨compound￨servic servic￨NN￨nmod￨cost in￨IN￨case￨ci0 ci0￨NNP￨nmod￨cost
show￨VB￨root￨ROOT me￨PRP￨iobj￨show price￨NN￨obj￨show of￨IN￨case￨flight flight￨NN￨nmod￨price from￨IN￨case￨ci0 ci0￨NNP￨obl￨show to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
how￨WRB￨advmod￨have mani￨NNP￨compound￨doe flight￨NN￨compound￨doe doe￨NN￨nsubj￨have al0￨MD￨aux￨have have￨VB￨root￨ROOT with￨IN￨case￨class busi￨NN￨compound￨class class￨NN￨obl￨have
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨TO￨case￨ci0 ci0￨NNP￨obl￨show on￨IN￨case￨da0 da0￨NNP￨nmod￨ci0
what￨WDT￨det￨flight flight￨NN￨nsubj￨go go￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨go to￨IN￨case￨ci1 ci1￨NNP￨obl￨go after￨RB￨advmod￨go ti0￨.￨punct￨go
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨obl￨show on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
what￨WDT￨det￨type type￨NN￨root￨ROOT of￨IN￨case￨fli aircraft￨NN￨compound￨fli fli￨NN￨nmod￨type from￨IN￨case￨ci0 ci0￨NN￨nmod￨type to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨obl￨show on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
how￨WRB￨advmod￨provid mani￨NNP￨nmod:poss￨flight first￨JJ￨amod￨flight class￨NN￨compound￨flight flight￨NN￨nsubj:pass￨provid are￨VBP￨aux:pass￨provid provid￨JJ￨root￨ROOT by￨IN￨obl￨provid al0￨.￨punct￨provid
list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NNP￨obl￨list to￨TO￨case￨ci1 ci1￨NNP￨obl￨list on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
all￨DT￨det￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight on￨IN￨case￨mn0 mn0￨NNP￨nmod￨flight dn0￨.￨punct￨flight
could￨MD￨aux￨tell you￨PRP￨nsubj￨tell tell￨VB￨root￨ROOT me￨PRP￨obj￨tell if￨IN￨mark￨breakfast al0￨PRP￨nsubj￨breakfast fn0￨NN￨compound￨breakfast serv￨NN￨compound￨breakfast breakfast￨NN￨advcl￨tell
round￨JJ￨amod￨trip trip￨NN￨compound￨fare fare￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare under￨IN￨case￨do0 do0￨NNP￨nmod￨fare
what￨WP￨root￨ROOT are￨VBP￨cop￨what the￨DT￨det￨flight afternoon￨NN￨compound￨flight flight￨NN￨nsubj￨what between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
what￨WDT￨det￨flight flight￨NN￨nsubj￨go go￨VBP￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨go to￨TO￨case￨ci1 ci1￨NNP￨obl￨go via￨IN￨case￨ci2 ci2￨NNP￨nmod￨ci1
ci0￨VB￨root￨ROOT to￨TO￨mark￨ci1 ci1￨VB￨xcomp￨ci0 arriv￨NN￨obj￨ci1 befor￨IN￨case￨ti0 ti0￨NN￨obl￨ci1 in￨IN￨case￨afternoon the￨DT￨det￨afternoon afternoon￨NN￨obl￨ci1
show￨VB￨root￨ROOT all￨PDT￨det:predet￨flight da0￨DT￨det￨flight morn￨NN￨compound￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
is￨VBZ￨root￨ROOT there￨EX￨expl￨is a￨DT￨det￨flight nonstop￨JJ￨amod￨flight flight￨NN￨nsubj￨is from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨is
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NNP￨obl￨list to￨IN￨case￨morn ci1￨NNP￨obl￨list da0￨NNP￨compound￨morn morn￨NN￨obl￨list
list￨VB￨root￨ROOT the￨DT￨det￨flight al0￨JJ￨amod￨flight flight￨NN￨obj￨list that￨WDT￨nsubj￨leav leav￨VBP￨acl:relcl￨flight ci0￨NN￨obj￨leav befor￨RB￨advmod￨leav ti0￨.￨punct￨list
list￨NN￨compound￨flight flight￨NN￨root￨ROOT between￨IN￨case￨ci1 ci1￨NNS￨nmod￨flight and￨CC￨cc￨ci0 ci0￨VB￨conj￨flight that￨DT￨det￨breakfast serv￨NN￨compound￨breakfast breakfast￨NN￨obj￨ci0
list￨VB￨root￨ROOT the￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨list on￨IN￨case￨al0 al0￨NNP￨obl￨list
pleas￨NNS￨nsubj￨list list￨VBP￨root￨ROOT the￨DT￨det￨time flight￨NN￨compound￨time time￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NN￨obl￨list to￨IN￨case￨ci1 ci1￨NNP￨obl￨list
can￨MD￨aux￨list you￨PRP￨nsubj￨list list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list between￨IN￨case￨ci0 ci0￨NNS￨nmod￨flight and￨CC￨cc￨ci1 ci1￨.￨punct￨list
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨like tomorrow￨NN￨obl:tmod￨like from￨IN￨case￨ci0 ci0￨NNP￨obl￨like to￨IN￨case￨ci1 ci1￨NNP￨obl￨like
find￨VB￨root￨ROOT me￨PRP￨iobj￨find a￨DT￨det￨flight flight￨NN￨obj￨find leav￨IN￨case￨ci0 ci0￨NN￨nmod￨flight at￨IN￨case￨o'clock ti0￨CD￨nummod￨o'clock o'clock￨NN￨obl￨find
what￨WP￨root￨ROOT are￨VBP￨cop￨what the￨DT￨det￨flight even￨JJ￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
flight￨NN￨compound￨inform inform￨NN￨root￨ROOT between￨IN￨case￨ci0 ci0￨NN￨nmod￨inform and￨CC￨cc￨ci1 ci1￨NN￨conj￨ci0 on￨IN￨case￨mn0 mn0￨NNP￨nmod￨inform dn0￨.￨punct￨inform
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight latest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
do￨VBP￨aux￨have you￨PRP￨nsubj￨have have￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨have from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨have
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨like
show￨VB￨root￨ROOT flight￨NN￨obj￨show between￨IN￨case￨ci1 ci1￨NN￨nmod￨flight and￨CC￨cc￨ci0 ci0￨NN￨conj￨ci1 for￨IN￨case￨mn0 mn0￨NN￨obl￨show dn0￨.￨punct￨show
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨PDT￨det:predet￨flight the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
do￨VBP￨aux￨have you￨PRP￨nsubj￨have have￨VB￨root￨ROOT a￨DT￨det￨al0 al0￨NN￨obj￨have from￨IN￨case￨ci0 ci0￨NN￨nmod￨al0 to￨IN￨case￨ci1 ci1￨NNP￨obl￨have
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight
find￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨find on￨IN￨case￨al0 al0￨NN￨nmod￨flight from￨IN￨case￨ci1 ci1￨NNP￨obl￨find to￨IN￨case￨ci0 ci0￨NNP￨obl￨find
round￨JJ￨amod￨trip trip￨NN￨compound￨fare fare￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare under￨IN￨case￨do0 do0￨NNP￨nmod￨fare
list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NNP￨obl￨list to￨TO￨case￨ci1 ci1￨NNP￨obl￨list on￨IN￨case￨da0 da0￨NNP￨nmod￨ci1
give￨VB￨root￨ROOT me￨PRP￨iobj￨give the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨obj￨give from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨give
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight nonstop￨JJ￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨show
all￨DT￨det￨flight flight￨NN￨nsubj￨leav from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨ci1 leav￨VBP￨root￨ROOT after￨RB￨advmod￨leav ti0￨.￨punct￨leav
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨ci0 latest￨JJS￨amod￨ci0 flight￨NN￨compound￨leav leav￨NN￨compound￨ci0 ci0￨NN￨nsubj￨what for￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨fare lowest￨JJS￨amod￨fare fare￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NN￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare
doe￨NNP￨compound￨al0 al0￨NNS￨nsubj￨have have￨VBP￨root￨ROOT ani￨NN￨compound￨flight flight￨NN￨obj￨have from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨obl￨have
